data,type,decorrelation,output_type,metric,seed,margin,lambda,indicator,value
loan,contrastive,xicor,label,l2,0,0.50,10.00,acc,0.5
loan,contrastive,xicor,label,l2,0,0.50,10.00,mcc,0.0
loan,contrastive,xicor,label,l2,0,0.50,10.00,mpe,1.1518243551254272
loan,contrastive,xicor,label,l2,0,0.50,10.00,rmse,0.7692824006080627
loan,triplet,xicor,embedding,l2,0,0.10,10.00,acc,0.4429999887943268
loan,triplet,xicor,embedding,l2,0,0.10,10.00,mcc,0.05295487426439947
loan,triplet,xicor,embedding,l2,0,0.10,10.00,mpe,72.74834442138672
loan,triplet,xicor,embedding,l2,0,0.10,10.00,rmse,1.4921098947525024
loan,triplet,xicor,embedding,l2,0,0.20,10.00,acc,0.4729999899864197
loan,triplet,xicor,embedding,l2,0,0.20,10.00,mcc,0.09994875736276392
loan,triplet,xicor,embedding,l2,0,0.20,10.00,mpe,127.31460571289062
loan,triplet,xicor,embedding,l2,0,0.20,10.00,rmse,5.992141246795654
loan,triplet,xicor,embedding,l2,0,0.50,10.00,acc,0.5354999899864197
loan,triplet,xicor,embedding,l2,0,0.50,10.00,mcc,0.1643505336677685
loan,triplet,xicor,embedding,l2,0,0.50,10.00,mpe,80.8375015258789
loan,triplet,xicor,embedding,l2,0,0.50,10.00,rmse,10.242377281188965
loan,triplet,xicor,label,l2,0,0.10,10.00,acc,0.4284999966621399
loan,triplet,xicor,label,l2,0,0.10,10.00,mcc,0.08716962948850546
loan,triplet,xicor,label,l2,0,0.10,10.00,mpe,40.011878967285156
loan,triplet,xicor,label,l2,0,0.10,10.00,rmse,0.9409024119377136
loan,triplet,xicor,label,l2,0,0.20,10.00,acc,0.45500001311302185
loan,triplet,xicor,label,l2,0,0.20,10.00,mcc,0.11425058258197177
loan,triplet,xicor,label,l2,0,0.20,10.00,mpe,72.2413558959961
loan,triplet,xicor,label,l2,0,0.20,10.00,rmse,3.15451717376709
loan,triplet,xicor,label,l2,0,0.50,10.00,acc,0.5435000061988831
loan,triplet,xicor,label,l2,0,0.50,10.00,mcc,0.22452884121671365
loan,triplet,xicor,label,l2,0,0.50,10.00,mpe,247.25271606445312
loan,triplet,xicor,label,l2,0,0.50,10.00,rmse,6.916235446929932
nlm,contrastive,xicor,embedding,l2,0,0.10,10.00,acc,0.4860000014305115
nlm,contrastive,xicor,embedding,l2,0,0.10,10.00,mcc,-0.03883041881460334
nlm,contrastive,xicor,embedding,l2,0,0.10,10.00,mpe,5.734861373901367
nlm,contrastive,xicor,embedding,l2,0,0.10,10.00,rmse,0.1076931580901146
nlm,contrastive,xicor,embedding,l2,0,0.20,10.00,acc,0.45350000262260437
nlm,contrastive,xicor,embedding,l2,0,0.20,10.00,mcc,-0.1128658230699496
nlm,contrastive,xicor,embedding,l2,0,0.20,10.00,mpe,5.187553405761719
nlm,contrastive,xicor,embedding,l2,0,0.20,10.00,rmse,0.2101542055606842
nlm,contrastive,xicor,embedding,l2,0,0.50,10.00,acc,0.5995000004768372
nlm,contrastive,xicor,embedding,l2,0,0.50,10.00,mcc,0.20313648941274168
nlm,contrastive,xicor,embedding,l2,0,0.50,10.00,mpe,2.8389508724212646
nlm,contrastive,xicor,embedding,l2,0,0.50,10.00,rmse,0.45306074619293213
nlm,contrastive,xicor,label,l2,0,0.10,10.00,acc,0.5019999742507935
nlm,contrastive,xicor,label,l2,0,0.10,10.00,mcc,0.0
nlm,contrastive,xicor,label,l2,0,0.10,10.00,mpe,1.0350980758666992
nlm,contrastive,xicor,label,l2,0,0.10,10.00,rmse,0.15925419330596924
nlm,contrastive,xicor,label,l2,0,0.20,10.00,acc,0.5120000243186951
nlm,contrastive,xicor,label,l2,0,0.20,10.00,mcc,0.0
nlm,contrastive,xicor,label,l2,0,0.20,10.00,mpe,1.0073827505111694
nlm,contrastive,xicor,label,l2,0,0.20,10.00,rmse,0.31901660561561584
nlm,contrastive,xicor,label,l2,0,0.50,10.00,acc,0.49549999833106995
nlm,contrastive,xicor,label,l2,0,0.50,10.00,mcc,0.0
nlm,contrastive,xicor,label,l2,0,0.50,10.00,mpe,0.9524554014205933
nlm,contrastive,xicor,label,l2,0,0.50,10.00,rmse,0.7336620092391968
nlm,triplet,xicor,embedding,l2,0,0.10,10.00,acc,0.5070000290870667
nlm,triplet,xicor,embedding,l2,0,0.10,10.00,mcc,0.20960894465636232
nlm,triplet,xicor,embedding,l2,0,0.10,10.00,mpe,14.795660018920898
nlm,triplet,xicor,embedding,l2,0,0.10,10.00,rmse,0.3367639482021332
nlm,triplet,xicor,embedding,l2,0,0.20,10.00,acc,0.6305000185966492
nlm,triplet,xicor,embedding,l2,0,0.20,10.00,mcc,0.29461632986325603
nlm,triplet,xicor,embedding,l2,0,0.20,10.00,mpe,6.3913397789001465
nlm,triplet,xicor,embedding,l2,0,0.20,10.00,rmse,0.4350515305995941
nlm,triplet,xicor,embedding,l2,0,0.50,10.00,acc,0.6635000109672546
nlm,triplet,xicor,embedding,l2,0,0.50,10.00,mcc,0.3032011716277303
nlm,triplet,xicor,embedding,l2,0,0.50,10.00,mpe,2.7991044521331787
nlm,triplet,xicor,embedding,l2,0,0.50,10.00,rmse,0.6347727179527283
nlm,triplet,xicor,label,l2,0,0.10,10.00,acc,0.5130000114440918
nlm,triplet,xicor,label,l2,0,0.10,10.00,mcc,0.22909114443550144
nlm,triplet,xicor,label,l2,0,0.10,10.00,mpe,10.073997497558594
nlm,triplet,xicor,label,l2,0,0.10,10.00,rmse,0.30607515573501587
nlm,triplet,xicor,label,l2,0,0.20,10.00,acc,0.593999981880188
nlm,triplet,xicor,label,l2,0,0.20,10.00,mcc,0.2783855246842532
nlm,triplet,xicor,label,l2,0,0.20,10.00,mpe,10.713736534118652
nlm,triplet,xicor,label,l2,0,0.20,10.00,rmse,0.4151063859462738
nlm,triplet,xicor,label,l2,0,0.50,10.00,acc,0.6644999980926514
nlm,triplet,xicor,label,l2,0,0.50,10.00,mcc,0.3153981438903519
nlm,triplet,xicor,label,l2,0,0.50,10.00,mpe,3.3338205814361572
nlm,triplet,xicor,label,l2,0,0.50,10.00,rmse,0.6374272108078003
